time,cdf
0.0,0.0
0.0015,2.3506576830132325E-38
0.003,6.559974086313799E-37
0.0045000000000000005,9.174858089088726E-36
0.006,8.596300810771074E-35
0.0075,6.0847591343762915E-34
0.009000000000000001,3.4786763292409626E-33
0.0105,1.6767337659131607E-32
0.012,7.021811301306131E-32
0.0135,2.612447775303276E-31
0.015,8.78463083003714E-31
0.0165,2.7064497373022296E-30
0.018000000000000002,7.724652058621896E-30
0.0195,2.061191195248957E-29
0.021,5.181117188894683E-29
0.0225,1.234766276643252E-28
0.024,2.8053012013507147E-28
0.025500000000000002,6.104480395957245E-28
0.027,1.2774884346219125E-27
0.0285,2.5801165186564852E-27
0.03,5.0447363315393394E-27
0.0315,9.574916804445298E-27
0.033,1.768364609739488E-26
0.0345,3.1847414223769127E-26
0.036000000000000004,5.603590549339444E-26
0.0375,9.649073314918385E-26
0.039,1.6285210284069888E-25
0.0405,2.6976488591436397E-25
0.042,4.391368808304297E-25
0.043500000000000004,7.032738555979757E-25
0.045,1.1091803878623156E-24
0.0465,1.724394949310513E-24
0.048,2.6448248484795288E-24
0.0495,4.0051646458385316E-24
0.051000000000000004,5.992623977046743E-24
0.0525,8.864861281394222E-24
0.054,1.2973223109472118E-23
0.0555,1.879262934797985E-23
0.057,2.6959728250076036E-23
0.0585,3.832127756128514E-23
0.06,5.39950958492915E-23
0.0615,7.544637858493393E-23
0.063,1.0458269446148006E-22
0.0645,1.4387157747453004E-22
0.066,1.964853187639205E-22
0.0675,2.664783492829311E-22
0.069,3.5900350098278095E-22
0.07050000000000001,4.805744522284491E-22
0.07200000000000001,6.393828153549958E-22
0.0735,8.456796243451726E-22
0.075,1.1122324432668897E-21
0.0765,1.4548709570957806E-21
0.078,1.893135742682148E-21
0.0795,2.45104696683791E-21
0.081,3.158012039909581E-21
0.0825,4.049893787057026E-21
0.084,5.170263507301073E-21
0.0855,6.571866395039897E-21
0.08700000000000001,8.318330224284437E-21
0.0885,1.048615196780286E-20
0.09,1.3167001168563149E-20
0.0915,1.647038342762305E-20
0.093,2.0526712350709476E-20
0.0945,2.549084373643223E-20
0.096,3.1546131725209814E-20
0.0975,3.890907309394554E-20
0.099,4.7834612913288794E-20
0.1005,5.862219241960644E-20
0.10200000000000001,7.16226282319044E-20
0.10350000000000001,8.724592100592629E-20
0.105,1.0597010130629926E-19
0.1065,1.283512309374552E-19
0.108,1.5503468925148495E-19
0.1095,1.8676788609427216E-19
0.111,2.244145561102399E-19
0.1125,2.6897080315275176E-19
0.114,3.2158307859546486E-19
0.1155,3.8356829346548633E-19
0.117,4.564362815797493E-19
0.11850000000000001,5.41914849321266E-19
0.12,6.419776674035062E-19
0.1215,7.58875281002758E-19
0.123,8.951695370556615E-19
0.1245,1.0537717513898855E-18
0.126,1.237984963749972E-18
0.1275,1.4515506557695162E-18
0.129,1.6987003355990745E-18
0.1305,1.984212423302477E-18
0.132,2.3134749033607407E-18
0.1335,2.6925542447527186E-18
0.135,3.1282711251973468E-18
0.1365,3.628283534328339E-18
0.138,4.2011778709148995E-18
0.1395,4.8565686918303624E-18
0.14100000000000001,5.605207815395146E-18
0.14250000000000002,6.459103529074279E-18
0.14400000000000002,7.431650701387753E-18
0.1455,8.537772650391413E-18
0.147,9.79407567630622E-18
0.1485,1.1219017223915781E-17
0.15,1.2833088701319517E-17
0.1515,1.465901404562739E-17
0.153,1.6721965193318735E-17
0.1545,1.9049795683373084E-17
0.156,2.1673293695025332E-17
0.1575,2.4626455899215815E-17
0.159,2.794678358361332E-17
0.1605,3.16756025956026E-17
0.162,3.585840873596884E-17
0.1635,4.054524032829928E-17
0.165,4.579107978548228E-17
0.1665,5.1656286095240134E-17
0.168,5.820706025151271E-17
0.1695,6.551594576784223E-17
0.171,7.366236652282696E-17
0.17250000000000001,8.273320430634587E-17
0.17400000000000002,9.282341855874116E-17
0.17550000000000002,1.0403671092361818E-16
0.177,1.1648623736851965E-16
0.1785,1.3029537076659246E-16
0.18,1.4559851697663392E-16
0.1815,1.6254198760871924E-16
0.183,1.8128493281812027E-16
0.1845,2.0200033763157403E-16
0.186,2.248760854772889E-16
0.1875,2.501160927635441E-16
0.189,2.779415185304899E-16
0.1905,3.0859205338593697E-16
0.192,3.4232729212870346E-16
0.1935,3.7942819466259725E-16
0.195,4.2019864001052977E-16
0.1965,4.649670784517192E-16
0.198,5.140882870256185E-16
0.1995,5.679452338742516E-16
0.201,6.269510571302107E-16
0.2025,6.915511643008349E-16
0.20400000000000001,7.622254583502019E-16
0.20550000000000002,8.39490696939685E-16
0.20700000000000002,9.239029915551363E-16
0.2085,1.0160604535243912E-15
0.21,1.1166059942129349E-15
0.2115,1.2262302869783761E-15
0.213,1.3456748987660304E-15
0.2145,1.475735599538551E-15
0.216,1.6172658580523676E-15
0.2175,1.7711805328228212E-15
0.219,1.9384597674585686E-15
0.2205,2.120153099894104E-15
0.222,2.317383795407434E-15
0.2235,2.531353413678092E-15
0.225,2.7633466205190173E-15
0.2265,3.014736255304488E-15
0.228,3.2869886655155222E-15
0.2295,3.581669320233979E-15
0.231,3.900448714837376E-15
0.2325,4.245108579578103E-15
0.234,4.617548405173673E-15
0.23550000000000001,5.019792298988941E-15
0.23700000000000002,5.453996185856948E-15
0.23850000000000002,5.922455368062577E-15
0.24,6.427612459502531E-15
0.2415,6.9720657095364745E-15
0.243,7.55857773255773E-15
0.2445,8.190084659837796E-15
0.246,8.869705730737364E-15
0.2475,9.600753340927596E-15
0.249,1.0386743565829253E-14
0.2505,1.1231407178054395E-14
0.252,1.2138701178225143E-14
0.2535,1.3112820859147714E-14
0.255,1.4158212423936588E-14
0.2565,1.5279586179314326E-14
0.258,1.6481930325956855E-14
0.2595,1.777052536841214E-14
0.261,1.9150959167792968E-14
0.2625,2.0629142661130585E-14
0.264,2.221132627197759E-14
0.2655,2.390411703756362E-14
0.267,2.571449647853798E-14
0.2685,2.764983923807835E-14
0.27,2.9717932517904935E-14
0.2715,3.192699633951472E-14
0.273,3.4285704659741315E-14
0.2745,3.680320737055113E-14
0.276,3.948915321380956E-14
0.2775,4.235371364258634E-14
0.279,4.540760766142439E-14
0.2805,4.866212767886352E-14
0.28200000000000003,5.212916640639738E-14
0.28350000000000003,5.582124483894176E-14
0.28500000000000003,5.97515413528118E-14
0.28650000000000003,6.393392195813813E-14
0.28800000000000003,6.838297174360454E-14
0.2895,7.311402755235578E-14
0.291,7.814321192890954E-14
0.2925,8.348746837790772E-14
0.294,8.916459797655975E-14
0.2955,9.519329738366797E-14
0.297,1.0159319828917538E-13
0.2985,1.0838490834924964E-13
0.3,1.1559005365300086E-13
0.3015,1.2323132276804023E-13
0.303,1.3133251241320608E-13
0.3045,1.399185748079263E-13
0.306,1.4901566674884497E-13
0.3075,1.5865120046551666E-13
0.309,1.6885389630816664E-13
0.3105,1.7965383732172863E-13
0.312,1.9108252576160199E-13
0.3135,2.0317294160781975E-13
0.315,2.1595960313558633E-13
0.3165,2.2947862960142916E-13
0.318,2.437678061055153E-13
0.3195,2.588666506920032E-13
0.321,2.748164837506451E-13
0.3225,2.9166049978421373E-13
0.324,3.094438416077066E-13
0.3255,3.2821367704668114E-13
0.327,3.480192782034833E-13
0.3285,3.689121033615797E-13
0.33,3.9094588159964644E-13
0.3315,4.1417670018854757E-13
0.333,4.3866309484582735E-13
0.3345,4.644661429238488E-13
0.336,4.916495596092483E-13
0.3375,5.20279797212919E-13
0.339,5.504261476313048E-13
