time,cdf
0.0,0.0
0.015,1.5846952322657783E-28
0.03,3.467783045228107E-27
0.045,3.8088789616797654E-26
0.06,2.8110714291284637E-25
0.075,1.5742623881088786E-24
0.09,7.160380800848745E-24
0.105,2.763654634393468E-23
0.12,9.3337503339402E-23
0.135,2.821666397898048E-22
0.15,7.769221184983891E-22
0.16499999999999998,1.9751537308913532E-21
0.18,4.68734303874629E-21
0.195,1.0476605319425449E-20
0.21,2.2216105200956408E-20
0.22499999999999998,4.496994595498132E-20
0.24,8.73404622967955E-20
0.255,1.6347067666844266E-19
0.27,2.9594625128058015E-19
0.285,5.199076807328078E-19
0.3,8.887618302109324E-19
0.315,1.4819733424476187E-18
0.32999999999999996,2.4155220203185043E-18
0.345,3.855733140305142E-18
0.36,6.037324850947948E-18
0.375,9.2866714277748E-18
0.39,1.405145423781934E-17
0.40499999999999997,2.0938064832529145E-17
0.42,3.075833762788081E-17
0.435,4.458742410242961E-17
0.44999999999999996,6.383487726979952E-17
0.46499999999999997,9.033129524556104E-17
0.48,1.2643317687285897E-16
0.495,1.7514897139731515E-16
0.51,2.4028965884608535E-16
0.525,3.2664757877904146E-16
0.54,4.402076331051871E-16
0.5549999999999999,5.88395424309537E-16
0.57,7.803673542804157E-16
0.585,1.0273482014800487E-15
0.6,1.3430222159273323E-15
0.615,1.743984322774693E-15
0.63,2.2502586065235427E-15
0.645,2.8858918594461495E-15
0.6599999999999999,3.67963061982554E-15
0.6749999999999999,4.665690798397814E-15
0.69,5.884629695040452E-15
0.705,7.384330942402748E-15
0.72,9.221113678877027E-15
0.735,1.1460978050069096E-14
0.75,1.4180999965701346E-14
0.765,1.7470888897582505E-14
0.78,2.143472339376617E-14
0.7949999999999999,2.6192879904112905E-14
0.8099999999999999,3.1884171462937606E-14
0.825,3.8668213754991176E-14
0.84,4.6728037101376155E-14
0.855,5.627296394176908E-14
0.87,6.754177245811733E-14
0.885,8.08061680823527E-14
0.8999999999999999,9.637458575613924E-14
0.9149999999999999,1.1459634696372766E-13
0.9299999999999999,1.358661967390734E-13
0.945,1.6062924705489438E-13
0.96,1.8938635423367913E-13
0.975,2.226999592781479E-13
0.99,2.612004213006314E-13
1.005,3.0559287553654594E-13
1.02,3.5666464875586737E-13
1.035,4.1529326623746207E-13
1.05,4.824550858435232E-13
1.065,5.592345961243689E-13
1.08,6.468344167966202E-13
1.095,7.465860413694512E-13
1.1099999999999999,8.599613631432675E-13
1.125,9.885850272719508E-13
1.14,1.1342476530627426E-12
1.155,1.298919972186029E-12
1.17,1.4847679299797193E-12
1.185,1.6941687985586816E-12
1.2,1.9297283519777335E-12
1.2149999999999999,2.1942991552460864E-12
1.23,2.4910000205508316E-12
1.2449999999999999,2.823236685616022E-12
1.26,3.194723770701182E-12
1.275,3.6095080723275545E-12
1.29,4.071993253411085E-12
1.305,4.586965991077012E-12
1.3199999999999998,5.159623645030895E-12
1.335,5.79560351096388E-12
1.3499999999999999,6.501013725075224E-12
1.365,7.282465887400847E-12
1.38,8.147109473242894E-12
1.395,9.10266810359982E-12
1.41,1.0157477747099441E-11
1.425,1.1320526927536395E-11
1.44,1.2601499012711047E-11
1.4549999999999998,1.4010816661856324E-11
1.47,1.5559688510522775E-11
1.4849999999999999,1.7260158173368253E-11
1.5,1.9125155646866345E-11
1.515,2.1168551195506416E-11
1.53,2.340521180660596E-11
1.545,2.585106030039298E-11
1.56,2.852313718354048E-11
1.575,3.1439665335846344E-11
1.5899999999999999,3.462011762124878E-11
1.605,3.8085287515849535E-11
1.6199999999999999,4.1857362847082236E-11
1.635,4.596000273961252E-11
1.65,5.041841786498673E-11
1.665,5.5259454093458245E-11
1.68,6.051167964781245E-11
1.6949999999999998,6.620547586038363E-11
1.71,7.237313163580599E-11
1.7249999999999999,7.904894172337117E-11
1.74,8.626930890416763E-11
1.755,9.407285019945974E-11
1.77,1.025005072080207E-10
1.785,1.1159566068136482E-10
1.7999999999999998,1.2140424944702986E-10
1.815,1.3197489379123862E-10
1.8299999999999998,1.433590234134189E-10
1.845,1.556110100661868E-10
1.8599999999999999,1.6878830499548684E-10
1.875,1.8295158129665264E-10
1.89,1.9816488130318127E-10
1.905,2.1449576912602041E-10
1.92,2.3201548846214017E-10
1.9349999999999998,2.507991257920971E-10
1.95,2.70925779087213E-10
1.9649999999999999,2.9247873214785866E-10
1.98,3.1554563469517795E-10
1.9949999999999999,3.402186883393948E-10
2.01,3.6659483854861615E-10
2.025,3.9477597274278387E-10
2.04,4.2486912463813116E-10
2.0549999999999997,4.569866849681626E-10
2.07,4.91246618707814E-10
2.085,5.277726889280338E-10
2.1,5.666946874085922E-10
2.1149999999999998,6.081486721374413E-10
2.13,6.522772118254321E-10
2.145,6.992296375656363E-10
2.16,7.491623017669344E-10
2.175,8.022388444918934E-10
2.19,8.586304673292861E-10
2.205,9.185162149319053E-10
2.2199999999999998,9.820832643505647E-10
2.235,1.0495272222953969E-9
2.25,1.12105243045574E-9
2.265,1.1968722790100183E-9
2.28,1.2772095284571478E-9
2.295,1.3622966399010114E-9
2.31,1.4523761139196091E-9
2.3249999999999997,1.5477008381504216E-9
2.34,1.6485344437234952E-9
2.355,1.7551516706736245E-9
2.37,1.8678387424628866E-9
2.385,1.98689374974458E-9
2.4,2.1126270434994087E-9
2.415,2.2453616376744723E-9
2.4299999999999997,2.385433621455345E-9
2.445,2.5331925813011596E-9
2.46,2.6890020328722286E-9
2.475,2.853239862979335E-9
2.4899999999999998,3.026298781683344E-9
2.505,3.208586784673281E-9
2.52,3.4005276260504996E-9
